species	taxid	genus	subfamily	family	superfamily	infraorder	suborder	order	subclass	class	subphylum	phylum	GC_timing	GC_mech	GC_mech_evidence
Acanthoscelides obtectus	200917	Acanthoscelides	Bruchinae	Chrysomelidae	Chrysomeloidea	Cucujiformia	Polyphaga	Coleoptera	Pterygota	Insecta	Hexapoda	Arthropoda	1	GP	GP_obs
Acarus siro	66546	Acarus	Acarinae	Acaridae	Acaroidea		Astigmata	Sarcoptiformes	Acari	Arachnida	Chelicerata	Arthropoda	3	IND	
Acheta domesticus	6997	Acheta	Gryllinae	Gryllidae	Grylloidea	Gryllidea	Ensifera	Orthoptera	Pterygota	Insecta	Hexapoda	Arthropoda	2	IND	
Acyrthosiphon pisum	7029	Acyrthosiphon	Aphidinae	Aphididae	Aphidoidea	Aphidomorpha	Sternorrhyncha	Hemiptera	Pterygota	Insecta	Hexapoda	Arthropoda	2	GP	GP_obs
Aedes aegypti	7159	Aedes	Culicinae	Culicidae	Culicoidea	Culicomorpha	Nematocera	Diptera	Pterygota	Insecta	Hexapoda	Arthropoda	1	GP	GP_obs
Allacma fusca	39272	Allacma		Sminthuridae				Symphypleona		Collembola	Hexapoda	Arthropoda	1	GP	
Amata fortunei	1178054	Amata	Arctiinae	Erebidae	Noctuoidea	Neolepidoptera	Glossata	Lepidoptera	Pterygota	Insecta	Hexapoda	Arthropoda	2	IND	
Anaspides tasmaniae	77687	Anaspides		Anaspididae				Anaspidacea	Eumalacostraca	Malacostraca	Crustacea	Arthropoda	3	IND	
Anopheles gambiae	7165	Anopheles	Anophelinae	Culicidae	Culicoidea	Culicomorpha	Nematocera	Diptera	Pterygota	Insecta	Hexapoda	Arthropoda	1	GP	GP_obs
Antheraea pernyi	7119	Antheraea	Saturniinae	Saturniidae	Bombycoidea	Neolepidoptera	Glossata	Lepidoptera	Pterygota	Insecta	Hexapoda	Arthropoda	3	IND	
Apis mellifera	7460	Apis	Apinae	Apidae	Apoidea	Aculeata	Apocrita	Hymenoptera	Pterygota	Insecta	Hexapoda	Arthropoda	3	IND	
Archipsocopsis fernandi		Archipsocopsis		Archipsocidae				Psocodea		Insecta	Hexapoda	Arthropoda	2	IND	
Armadillidium nasatum	96803	Armadillidium		Armadillidiidae			Oniscidea	Isopoda	Eumalacostraca	Malacostraca	Crustacea	Arthropoda	2	IND	
Armadillidium vulgare	13347	Armadillidium		Armadillidiidae			Oniscidea	Isopoda	Eumalacostraca	Malacostraca	Crustacea	Arthropoda	2	IND	
Artemia salina	85549	Artemia		Artemiidae				Anostraca	Sarsostraca	Branchiopoda	Crustacea	Arthropoda	3	IND	
Asellus aquaticus	92525	Asellus		Asellidae	Aselloidea		Asellota	Isopoda	Eumalacostraca	Malacostraca	Crustacea	Arthropoda	2	IND	
Athalia rosae	37344	Athalia		Athaliidae	Tenthredinoidea			Hymenoptera	Pterygota	Insecta	Hexapoda	Arthropoda	1	GP	
Bactrocera tryoni	59916	Bactrocera	Dacinae	Tephritidae	Tephritoidea	Muscomorpha	Brachycera	Diptera	Pterygota	Insecta	Hexapoda	Arthropoda	1	GP	GP_obs
Bactrothrips brevitubus	453547	Bactrothrips	Idolothripinae	Phlaeothripidae	Phlaeothripoidea		Tubulifera	Thysanoptera	Pterygota	Insecta	Hexapoda	Arthropoda	1	GP	GP_obs
Blattella germanica	6973	Blattella		Blattellidae	Blaberoidea			Blattodea	Pterygota	Insecta	Hexapoda	Arthropoda	2	IND	
Blissus leucopterus hirtus		Blissus		Blissidae				Hemiptera		Insecta	Hexapoda	Arthropoda	2	IND	
Bombyx mori	7091	Bombyx	Bombycinae	Bombycidae	Bombycoidea	Neolepidoptera	Glossata	Lepidoptera	Pterygota	Insecta	Hexapoda	Arthropoda	2	IND	GP_exp
